trial,weekday,conditions,direction,route,entrance,daytime,time,special
1,3,2,1,1,1,2,10:06:3,1
2,3,2,2,1,1,3,10:30:2,1
3,3,1,1,1,1,3,12:47:0,1
4,2,1,2,5,2,2,15:23:4,0
5,3,1,2,3,2,2,12:56:5,0
6,2,1,1,1,2,1,12:52:0,0
7,2,1,1,1,1,1,8:18:1,0
8,4,1,1,1,1,1,8:47:3,0
9,1,1,1,1,1,1,7:59:5,0
10,4,1,1,1,1,1,10:04:2,0
11,4,1,2,1,1,2,8:48:6,0
12,4,1,1,1,2,1,11:38:7,0
13,4,1,2,1,2,3,9:09:8,0
14,3,1,2,2,2,2,11:13:6,0
15,6,1,2,1,1,1,8:23:0,1
16,3,2,2,1,2,2,12:26:0,0
17,2,2,2,1,2,2,11:30:6,0
18,6,1,1,1,1,1,7:46:0,1
19,6,2,1,1,1,1,10:28:3,0
20,2,1,2,1,2,2,10:28:2,0
21,3,1,2,5,2,2,11:50:4,1
22,4,1,1,2,2,1,11:16:5,0
23,6,1,2,1,1,1,9:55:7,0
24,6,1,1,1,1,1,9:11:5,0
25,4,1,1,1,2,1,12:13:0,0
26,2,1,2,1,2,2,10:08:9,0
27,2,1,1,1,2,1,11:39:2,0
28,1,1,1,1,2,1,15:41:6,0
29,6,1,1,1,1,1,9:42:1,0
30,5,1,2,5,2,2,15:55:6,1
31,3,1,1,2,2,1,15:52:9,0
32,3,1,1,1,2,1,13:26:0,0
33,2,1,1,1,2,1,11:38:0,0
34,5,1,1,1,2,1,10:45:6,0
35,5,2,2,1,2,2,11:50:1,0
36,6,1,1,1,1,2,10:05:7,0
37,6,1,2,1,1,2,9:39:9,0
38,3,1,1,1,2,1,13:00:00,0
39,1,1,1,1,2,1,9:38:0,0
40,2,1,1,1,2,1,10:17:7,0
41,5,2,1,1,2,1,12:09:0,0
42,4,1,1,1,2,1,13:09:0,0
43,3,1,1,1,1,2,9:29:6,0
44,6,3,2,1,1,1,8:13:2,0
45,1,1,1,1,1,1,8:42:5,1
46,2,2,1,1,2,1,10:42:8,0
47,5,1,2,1,2,2,11:48:5,0
48,6,1,1,1,1,1,8:14:8,0
49,6,1,2,1,1,2,10:08:6,0
50,1,1,1,1,2,1,11:51:1,1
51,1,1,2,1,2,3,10:00:3,0
52,2,1,1,1,2,1,10:05:1,0
53,2,1,2,1,2,2,11:40:3,0
